id,act,dis,dth,conf,samp,test,pdtest,tpm,date
1,1,0,0,1,0,0,0,0,26-03-2020
2,6,0,0,6,0,0,0,0,27-03-2020
3,9,0,0,9,0,0,0,0,28-03-2020
4,9,0,0,9,0,0,0,0,29-03-2020
5,10,0,0,10,0,0,0,0,30-03-2020
6,10,0,0,10,0,0,0,0,31-03-2020
7,10,0,0,10,0,0,0,0,01-04-2020
8,10,0,0,10,0,0,0,0,02-04-2020
9,10,0,0,10,0,0,0,0,03-04-2020
10,10,0,0,10,0,0,0,0,04-04-2020
11,10,0,0,10,0,0,0,0,05-04-2020
12,10,0,0,10,324,254,70,635,06-04-2020
13,10,0,0,10,427,324,103,810,07-04-2020
14,11,0,0,11,562,523,39,1308,08-04-2020
15,1,10,0,11,615,574,41,1435,09-04-2020
16,1,10,0,11,615,615,0,1538,10-04-2020
17,1,10,0,11,804,721,83,1803,11-04-2020
18,1,10,0,11,886,804,82,2010,12-04-2020
19,1,10,0,11,983,886,97,2215,13-04-2020
20,1,10,0,11,1045,983,62,2458,14-04-2020
21,1,10,0,11,1298,1045,253,2613,15-04-2020
22,0,11,0,11,1403,1211,192,3028,16-04-2020
23,1,11,0,12,1403,1403,181,3508,17-04-2020
24,3,11,0,14,1629,1601,28,4003,18-04-2020
25,4,11,0,15,1932,1609,323,4023,19-04-2020
26,5,11,0,16,2020,1823,197,4558,20-04-2020
27,6,11,0,17,2221,1959,262,4898,21-04-2020
28,7,11,0,18,2304,2189,115,5473,22-04-2020
29,11,11,0,22,2537,2377,160,5943,23-04-2020
30,18,11,0,29,2679,2433,246,6083,24-04-2020
31,22,11,0,33,2741,2617,124,6543,25-04-2020
32,22,11,0,33,2848,2742,106,6855,26-04-2020
33,22,11,0,33,2848,2848,0,7120,27-04-2020
34,18,15,0,33,3246,3077,169,7693,28-04-2020
35,18,15,0,33,3406,3246,160,8115,29-04-2020
36,17,16,0,33,3554,3411,143,8528,30-04-2020
37,17,16,0,33,3754,3555,199,8888,01-05-2020
38,7,26,0,33,3867,3749,118,9373,02-05-2020
39,1,32,0,33,4024,3889,135,9723,03-05-2020
